class_id,class_name,support,precision,recall,f1,accuracy
0,Grade 0 (No DR),304,0.9899665551839465,0.9736842105263158,0.9817578772802653,0.9736842105263158
1,Grade 1 (Mild),79,0.8809523809523809,0.9367088607594937,0.9079754601226994,0.9367088607594937
2,Grade 2 (Moderate),150,0.9530201342281879,0.9466666666666667,0.9498327759197325,0.9466666666666667
3,Grade 3 (Severe),27,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9259259259259259
4,Grade 4 (Proliferative),39,0.9512195121951219,1.0,0.975,1.0
